Learning Suite Quiz Number,Quiz #,Open Assessments ID,Title,Quiz URL,title,AyamelURL,url,ID,length,chapter,section,group,video,old video number,title,date,1,,class period,gilbert,optional,video # in semester,video # within group,newvideos,Section Number,Section Title,Chapter Number,Chapter Title Long,Chapter Title Short,Topic Course Schedule
2,2,79,Quiz 2,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=79,2_1_7_expressing_measured_values_in_new_units_water,https://ayamel.byu.edu/course/350/content/2176/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_1_7bb.mp4,2176,467.441,2,1,3,7,31,expressing measured units in new units water,9/5/15,2,0,2,1.7-1.10,0,20,7,,Sections 1.9,Unit Conversions and Dimensional Analysis,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Measurements, Calculations"
2,2,79,Quiz 2,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=79,2_1_8_expressing_measured_values_in_new_units_metric_to_english,https://ayamel.byu.edu/course/350/content/2177/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_1_8bb.mp4,2177,214.949,2,1,3,8,32,expressing measured units in new units metric to english,9/5/15,2,0,2,1.7-1.10,0,21,8,,Sections 1.9,Unit Conversions and Dimensional Analysis,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Measurements, Calculations"
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_1_13_the_periodic_table,https://ayamel.byu.edu/course/350/content/2158/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_13bb.mp4,2158,87.191,1,1,1,13,13,the periodic table I,9/8/15,3,1,3,2.1-2.3,0,23,1,,Sections 2.3,Navigating the Periodic Table,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_2_1_electrostatic_properties,https://ayamel.byu.edu/course/350/content/2161/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_1bb.mp4,2161,158.059,1,2,2,1,16,electrostatic properties,9/8/15,3,0,3,2.1-2.3,0,24,2,,Sections 2.1,The Rutherford Model of Atomic Structure,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_2_2_coulomb_s_law,https://ayamel.byu.edu/course/350/content/2162/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_2bb.mp4,2162,274.948,1,2,2,2,17,Coulomb's Law,9/8/15,3,0,3,2.1-2.3,0,25,3,,Sections 2.1,The Rutherford Model of Atomic Structure,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_2_3_thomson_s_cathode_rays,https://ayamel.byu.edu/course/350/content/2163/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_3bb.mp4,2163,107.393,1,2,2,3,18,thomson's cathode rays,9/8/15,3,0,3,2.1-2.3,0,26,4,,Sections 2.1,The Rutherford Model of Atomic Structure,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_2_4_the_proton,https://ayamel.byu.edu/course/350/content/2164/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_4bb.mp4,2164,140.83,1,2,2,4,19,the proton,9/8/15,3,0,3,2.1-2.3,0,27,5,,Sections 2.1,The Rutherford Model of Atomic Structure,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_2_5_subatomic_particles,https://ayamel.byu.edu/course/350/content/2165/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_5bb.mp4,2165,183.392,1,2,2,5,20,subatomic particles,9/8/15,3,0,3,2.1-2.3,0,28,6,,Sections 2.1,The Rutherford Model of Atomic Structure,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_2_6_elemental_notation_isotopes,https://ayamel.byu.edu/course/350/content/2166/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_6bb.mp4,2166,216.689,1,2,2,6,21,elemental notation isotopes,9/8/15,3,0,3,2.1-2.3,0,29,7,,Sections 2.2,Nuclides and Their Symbols,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
3,3,80,Quiz 3,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=80,1_2_9_the_periodic_table,https://ayamel.byu.edu/course/350/content/2169/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_9bb.mp4,2169,354.128,1,2,2,9,24,the periodic table II,9/8/15,3,0,3,2.1-2.3,0,30,8,,Sections 2.3,Navigating the Periodic Table,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",The Atom
4,4,81,Quiz 4,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=81,1_2_7_atomic_mass_values,https://ayamel.byu.edu/course/350/content/2167/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_7bb.mp4,2167,108.647,1,2,2,7,22,atomic mass values,9/10/15,4,1,4,2.4-2.5,0,31,1,,Sections 2.4,"Masses of Atoms, Ions, and Molecules",2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",Moles and Mass
4,4,81,Quiz 4,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=81,1_2_8_average_atomic_mass,https://ayamel.byu.edu/course/350/content/2168/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_2_8bb.mp4,2168,134.607,1,2,2,8,23,average atomic mass,9/10/15,4,0,4,2.4-2.5,0,32,2,,Sections 2.4,"Masses of Atoms, Ions, and Molecules",2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",Moles and Mass
4,4,81,Quiz 4,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=81,2_2_4_atomic_mass_moles,https://ayamel.byu.edu/course/350/content/2181/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_4bb.mp4,2181,260.343,2,2,4,4,36,atomic mass and moles,9/10/15,4,0,4,2.4-2.5,0,33,3,,Sections 2.5,Moles and Molar Masses,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",Moles and Mass
4,4,81,Quiz 4,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=81,2_2_5_atoms_molecules_formula_units,https://ayamel.byu.edu/course/350/content/2182/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_5bb.mp4,2182,404.772,2,2,4,5,37,atoms molecules and formula units,9/10/15,4,0,4,2.4-2.5,0,34,4,,Sections 2.5,Moles and Molar Masses,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules",Moles and Mass
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",1_1_5_law_of_conservation_of_mass,https://ayamel.byu.edu/course/350/content/2150/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_5bb.mp4,2150,121.302,1,1,1,5,5,law of conservation of mass,10/20/15,6,1,21,7.1-7.4,0,139,1,,Sections 7.1,Chemical Reactions and the Conservation of Mass,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_1_balancing_chemical_equations,https://ayamel.byu.edu/course/350/content/2178/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_1bb.mp4,2178,322.41,2,2,4,1,33,balancing chemical equations,10/20/15,6,0,21,7.1-7.4,0,140,2,,Section 7.2,Balancing Chemical Equations,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_2_using_chemical_equations,https://ayamel.byu.edu/course/350/content/2179/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_2bb.mp4,2179,171.155,2,2,4,2,34,using chemical equations,10/20/15,6,0,21,7.1-7.4,0,141,3,,Section 7.2,Balancing Chemical Equations,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_3_stoichiometry_balanced_equations,https://ayamel.byu.edu/course/350/content/2180/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_3bb.mp4,2180,286.024,2,2,4,3,35,stoichiometry and chemical equations,10/20/15,6,0,21,7.1-7.4,0,142,4,,Section 7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_6_understanding_balanced_chemical_equations,https://ayamel.byu.edu/course/350/content/2183/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_6bb.mp4,2183,181.093,2,2,4,6,38,understanding balanced chemical equations,10/20/15,6,0,21,7.1-7.4,0,143,5,,Section 7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_7_balanced_equations_moles,https://ayamel.byu.edu/course/350/content/2184/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_7bb.mp4,2184,170.342,2,2,4,7,39,balanced equations and moles,10/20/15,6,0,21,7.1-7.4,0,144,6,,Section 7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_8_stoichiometric_ratios,https://ayamel.byu.edu/course/350/content/2185/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_8bb.mp4,2185,252.332,2,2,4,8,40,stoichiometric ratios,10/20/15,6,0,21,7.1-7.4,0,145,7,,Section 7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_9_calculations_using_moles,https://ayamel.byu.edu/course/350/content/2186/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_9bb.mp4,2186,171.55,2,2,4,9,41,calculations using moles,10/20/15,6,0,21,7.1-7.4,0,146,8,,Section 7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_10_stoichiometric_ratios_nacl,https://ayamel.byu.edu/course/350/content/2187/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_10bb.mp4,2187,328.772,2,2,4,10,42,stoichiometric ratios I,10/20/15,6,0,21,7.1-7.4,0,147,9,,Section 7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
5,17,94,Quiz 5,"http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=94,95",2_2_11_stoichiometric_ratios_nacl_cont.,https://ayamel.byu.edu/course/350/content/2188/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_11bb.mp4,2188,238.353,2,2,4,11,43,stoichiometric ratios II,10/20/15,6,0,21,7.1-7.4,0,148,10,,Section 7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,Stoichiometry
7,19,96,Quiz 7,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=96,2_3_1_limiting_reactants,https://ayamel.byu.edu/course/350/content/2189/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_12bb.mp4,2189,412.851,2,3,5,1,44,limiting reactants,10/22/15,7,1,22,7.8,0,149,1,,Section 7.8,Limiting Reactants and Percent Yield,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,"% Mass, Empirical Formula"
